id,name,address,zipcode,phone,website,latitude,longitude
49247,Valley Forge NHP,AZ,,,,40.10054985,-75.44581889
49248,Vanderbilt Mansion NHS,MO,,,,41.79697937,-73.94205557
49249,Vietnam Veterans MEM,PA,,,,38.89096297,-77.04765735
49250,Virgin Islands NP,NY,,,,18.34279656,-64.74194451
49251,Voyageurs NP,DC,,,,48.48370609,-92.8382913
49252,Walnut Canyon NM,VI,,,,35.16822994,-111.5024239
49253,War in the Pacific NHP,MN,,,,13.43795691,144.6922461
49254,Washington Monument,AZ,,,,38.88865182,-77.03546586
49255,Washita Battlefield NHS,DC,,,,35.62083963,-99.70445143
49256,Weir Farm NHS,OK,,,,41.25886268,-73.45452542
49257,Whiskeytown NRA,CA,,,,40.61359941,-122.6022657
49258,White Sands NM,NM,,,,32.77907858,-106.3333461
49259,Whitman Mission NHS,WA,,,,46.04119286,-118.4629388
49260,William Howard Taft NHS,DC,,,,39.11970352,-84.50758951
49261,Wilson's Creek NB,MO,,,,37.1000127,-93.40986704
49262,Wind Cave NP,SD,,,,43.58012365,-103.4394709
49263,Women's Rights NHP,NY,,,,42.90817073,-76.81655558
49264,World War II Memorial,DC,,,,38.88923917,-77.0403759
49265,World War II Valor in the Pacific NM,HI,,,,36.74793528,-131.3662323
49266,Wrangell-St. Elias NP & PRES,AK,,,,61.4182147,-142.6028439
49267,Wright Brothers NMEM,NC,,,,36.01637713,-75.66997163
49268,Wupatki NM,AZ,,,,35.55741077,-111.3957216
49269,Yellowstone NP,WY,,,,44.59824417,-110.5471695
49270,Yosemite NP,CA,,,,37.84883288,-119.5571873
49271,Zion NP,UT,84767,,,37.29839254,-113.0265138
