id,city_name,latitude,longitude,country_code
457,Glenwood,31.664143,-86.170972,USA
458,Goodsprings,33.668889,-87.231667,USA
459,Goodwater,33.074642,-86.078149,USA
460,Goodway,31.336667,-87.425833,USA
461,Gordo,33.346917,-87.900504,USA
462,Gordon,31.10019,-85.123412,USA
463,Goshen,31.82497,-86.104851,USA
464,Grady,32.019397,-86.129246,USA
465,Graham,33.462976,-85.334034,USA
466,Grand Bay,30.498288,-88.32825,USA
467,Grant,34.495902,-86.259041,USA
468,Graysville,33.63356,-86.948221,USA
469,Green Pond,33.225,-87.126389,USA
470,Greensboro,32.716721,-87.590494,USA
471,Greenville,31.810036,-86.622919,USA
472,Grove Hill,31.675502,-87.763571,USA
473,Groveoak,34.435874,-86.040023,USA
474,Guin,33.967624,-87.90238,USA
475,Gulf Shores,30.268954,-87.712795,USA
476,Guntersville,34.32193,-86.305463,USA
477,Gurley,34.713964,-86.394028,USA
478,Hackleburg,34.267803,-87.860762,USA
479,Haleyville,34.231423,-87.593811,USA
480,Hamilton,34.153413,-88.008521,USA
481,Hanceville,34.051569,-86.784844,USA
482,Hardaway,32.312939,-85.883837,USA
483,Harpersville,33.36746,-86.429441,USA
484,Hartford,31.08598,-85.719204,USA
485,Hartselle,34.448206,-86.924235,USA
486,Harvest,34.82732,-86.749929,USA
487,Hatchechubbee,32.284531,-85.302882,USA
488,Hayden,33.885806,-86.81767,USA
489,Hayneville,32.195707,-86.654994,USA
490,Hazel Green,34.949627,-86.593484,USA
491,Headland,31.353406,-85.332277,USA
492,Heflin,33.611515,-85.588471,USA
493,Helena,33.316978,-86.813786,USA
494,Henagar,34.618604,-85.727381,USA
495,Higdon,34.873247,-85.622507,USA
496,Highland Home,31.928292,-86.297111,USA
497,Hillsboro,34.64763,-87.180379,USA
498,Hodges,34.341664,-87.959023,USA
499,Hollins,33.1175,-86.144444,USA
500,Holly Pond,34.190085,-86.617441,USA
501,Hollytree,34.798979,-86.233627,USA
502,Hollywood,34.730428,-85.953173,USA
503,Holy Trinity,32.222222,-85.005278,USA
504,Honoraville,31.878397,-86.398064,USA
505,Hope Hull,32.224256,-86.393189,USA
506,Horton,34.190033,-86.317318,USA
507,Huntsville,34.726866,-86.567318,USA
508,Hurtsboro,32.245429,-85.395903,USA
509,Huxford,31.22,-87.461944,USA
510,Ider,34.735059,-85.641577,USA
511,Irvington,30.480241,-88.239563,USA
512,Jachin,32.244174,-88.233356,USA
513,Jack,31.552392,-86.043083,USA
514,Jackson,31.513098,-87.867192,USA
515,Jacksons Gap,32.879698,-85.848662,USA
516,Jacksonville,33.830966,-85.77518,USA
517,Jasper,33.871672,-87.249144,USA
518,Jefferson,32.386667,-87.898056,USA
519,Jemison,32.980539,-86.718052,USA
520,Jones,32.608515,-86.889266,USA
521,Joppa,34.283739,-86.551939,USA
522,Kansas,33.901667,-87.551944,USA
523,Kellerman,33.340556,-87.304722,USA
524,Kellyton,32.979068,-86.048397,USA
525,Kennedy,33.574964,-88.05172,USA
526,Kent,32.618889,-85.948611,USA
527,Killen,34.901632,-87.508185,USA
